year,scenario,group,variable_id,source_value,normalization_min,normalization_base,normalization_max,direction,weight,confidence,source_url
2026,base,demand,ai_dc_demand_index,113.870,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2026,base,demand,hyperscaler_capex_index,118.000,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2026,base,demand,enterprise_ai_adoption_index,122.130,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2026,base,capacity,grid_connection_index,69.480,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2026,base,capacity,transformer_capacity_index,72.000,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2026,base,capacity,gpu_hbm_supply_index,74.520,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2026,base,capacity,construction_delivery_index,77.040,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2026,base,finance,credit_spread_stress_index,99.395,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2026,base,finance,free_cash_flow_index,103.000,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2026,base,finance,insurance_cost_stress_index,106.605,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2026,upside,demand,ai_dc_demand_index,122.980,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2026,upside,demand,hyperscaler_capex_index,127.440,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2026,upside,demand,enterprise_ai_adoption_index,131.900,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2026,upside,capacity,grid_connection_index,84.766,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2026,upside,capacity,transformer_capacity_index,87.840,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2026,upside,capacity,gpu_hbm_supply_index,90.914,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2026,upside,capacity,construction_delivery_index,93.989,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2026,upside,finance,credit_spread_stress_index,91.443,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2026,upside,finance,free_cash_flow_index,94.760,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2026,upside,finance,insurance_cost_stress_index,98.077,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2026,downside,demand,ai_dc_demand_index,102.483,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2026,downside,demand,hyperscaler_capex_index,106.200,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2026,downside,demand,enterprise_ai_adoption_index,109.917,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2026,downside,capacity,grid_connection_index,54.194,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2026,downside,capacity,transformer_capacity_index,56.160,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2026,downside,capacity,gpu_hbm_supply_index,58.126,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2026,downside,capacity,construction_delivery_index,60.091,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2026,downside,finance,credit_spread_stress_index,117.286,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2026,downside,finance,free_cash_flow_index,121.540,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2026,downside,finance,insurance_cost_stress_index,125.794,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2026,current,demand,ai_dc_demand_index,136.644,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2026,current,demand,hyperscaler_capex_index,141.600,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2026,current,demand,enterprise_ai_adoption_index,146.556,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2026,current,capacity,grid_connection_index,72.954,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2026,current,capacity,transformer_capacity_index,75.600,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2026,current,capacity,gpu_hbm_supply_index,78.246,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2026,current,capacity,construction_delivery_index,80.892,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2026,current,finance,credit_spread_stress_index,103.371,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2026,current,finance,free_cash_flow_index,107.120,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2026,current,finance,insurance_cost_stress_index,110.869,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2027,base,demand,ai_dc_demand_index,119.660,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2027,base,demand,hyperscaler_capex_index,124.000,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2027,base,demand,enterprise_ai_adoption_index,128.340,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2027,base,capacity,grid_connection_index,73.340,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2027,base,capacity,transformer_capacity_index,76.000,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2027,base,capacity,gpu_hbm_supply_index,78.660,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2027,base,capacity,construction_delivery_index,81.320,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2027,base,finance,credit_spread_stress_index,101.325,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2027,base,finance,free_cash_flow_index,105.000,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2027,base,finance,insurance_cost_stress_index,108.675,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2027,upside,demand,ai_dc_demand_index,129.233,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2027,upside,demand,hyperscaler_capex_index,133.920,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2027,upside,demand,enterprise_ai_adoption_index,138.607,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2027,upside,capacity,grid_connection_index,89.475,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2027,upside,capacity,transformer_capacity_index,92.720,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2027,upside,capacity,gpu_hbm_supply_index,95.965,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2027,upside,capacity,construction_delivery_index,99.210,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2027,upside,finance,credit_spread_stress_index,93.219,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2027,upside,finance,free_cash_flow_index,96.600,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2027,upside,finance,insurance_cost_stress_index,99.981,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2027,downside,demand,ai_dc_demand_index,107.694,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2027,downside,demand,hyperscaler_capex_index,111.600,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2027,downside,demand,enterprise_ai_adoption_index,115.506,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2027,downside,capacity,grid_connection_index,57.205,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2027,downside,capacity,transformer_capacity_index,59.280,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2027,downside,capacity,gpu_hbm_supply_index,61.355,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2027,downside,capacity,construction_delivery_index,63.430,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2027,downside,finance,credit_spread_stress_index,119.563,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2027,downside,finance,free_cash_flow_index,123.900,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2027,downside,finance,insurance_cost_stress_index,128.236,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2027,current,demand,ai_dc_demand_index,143.592,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2027,current,demand,hyperscaler_capex_index,148.800,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2027,current,demand,enterprise_ai_adoption_index,154.008,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2027,current,capacity,grid_connection_index,77.007,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2027,current,capacity,transformer_capacity_index,79.800,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2027,current,capacity,gpu_hbm_supply_index,82.593,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2027,current,capacity,construction_delivery_index,85.386,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2027,current,finance,credit_spread_stress_index,105.378,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2027,current,finance,free_cash_flow_index,109.200,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2027,current,finance,insurance_cost_stress_index,113.022,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2028,base,demand,ai_dc_demand_index,126.415,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2028,base,demand,hyperscaler_capex_index,131.000,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2028,base,demand,enterprise_ai_adoption_index,135.585,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2028,base,capacity,grid_connection_index,78.165,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2028,base,capacity,transformer_capacity_index,81.000,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2028,base,capacity,gpu_hbm_supply_index,83.835,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2028,base,capacity,construction_delivery_index,86.670,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2028,base,finance,credit_spread_stress_index,103.255,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2028,base,finance,free_cash_flow_index,107.000,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2028,base,finance,insurance_cost_stress_index,110.745,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2028,upside,demand,ai_dc_demand_index,136.528,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2028,upside,demand,hyperscaler_capex_index,141.480,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2028,upside,demand,enterprise_ai_adoption_index,146.432,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2028,upside,capacity,grid_connection_index,95.361,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2028,upside,capacity,transformer_capacity_index,98.820,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2028,upside,capacity,gpu_hbm_supply_index,102.279,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2028,upside,capacity,construction_delivery_index,105.737,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2028,upside,finance,credit_spread_stress_index,94.995,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2028,upside,finance,free_cash_flow_index,98.440,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2028,upside,finance,insurance_cost_stress_index,101.885,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2028,downside,demand,ai_dc_demand_index,113.773,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2028,downside,demand,hyperscaler_capex_index,117.900,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2028,downside,demand,enterprise_ai_adoption_index,122.026,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2028,downside,capacity,grid_connection_index,60.969,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2028,downside,capacity,transformer_capacity_index,63.180,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2028,downside,capacity,gpu_hbm_supply_index,65.391,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2028,downside,capacity,construction_delivery_index,67.603,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2028,downside,finance,credit_spread_stress_index,121.841,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2028,downside,finance,free_cash_flow_index,126.260,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2028,downside,finance,insurance_cost_stress_index,130.679,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2028,current,demand,ai_dc_demand_index,151.698,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2028,current,demand,hyperscaler_capex_index,157.200,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2028,current,demand,enterprise_ai_adoption_index,162.702,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2028,current,capacity,grid_connection_index,82.073,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2028,current,capacity,transformer_capacity_index,85.050,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2028,current,capacity,gpu_hbm_supply_index,88.027,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2028,current,capacity,construction_delivery_index,91.004,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2028,current,finance,credit_spread_stress_index,107.385,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2028,current,finance,free_cash_flow_index,111.280,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2028,current,finance,insurance_cost_stress_index,115.175,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2029,base,demand,ai_dc_demand_index,133.170,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2029,base,demand,hyperscaler_capex_index,138.000,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2029,base,demand,enterprise_ai_adoption_index,142.830,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
2029,base,capacity,grid_connection_index,82.990,50,100,180,higher_is_capacity,0.4,0.7,https://www.iea.org/reports/electricity-2026/grids
2029,base,capacity,transformer_capacity_index,86.000,50,100,180,higher_is_capacity,0.25,0.65,https://www.iea.org/reports/electricity-2026/grids
2029,base,capacity,gpu_hbm_supply_index,89.010,50,100,180,higher_is_capacity,0.2,0.65,https://www.iea.org/reports/electricity-2026/grids
2029,base,capacity,construction_delivery_index,92.020,50,100,180,higher_is_capacity,0.15,0.6,https://www.iea.org/reports/electricity-2026/grids
2029,base,finance,credit_spread_stress_index,104.220,80,100,180,higher_is_constraint,0.45,0.65,https://www.imf.org/en/Publications/WEO
2029,base,finance,free_cash_flow_index,108.000,80,100,180,higher_is_capacity,0.35,0.6,https://www.imf.org/en/Publications/WEO
2029,base,finance,insurance_cost_stress_index,111.780,80,100,180,higher_is_constraint,0.2,0.5,https://www.imf.org/en/Publications/WEO
2029,upside,demand,ai_dc_demand_index,143.824,50,100,180,higher_is_capacity,0.45,0.7,https://www.iea.org/reports/energy-and-ai
2029,upside,demand,hyperscaler_capex_index,149.040,50,100,180,higher_is_capacity,0.35,0.65,https://www.iea.org/reports/energy-and-ai
2029,upside,demand,enterprise_ai_adoption_index,154.256,50,100,180,higher_is_capacity,0.2,0.55,https://www.iea.org/reports/energy-and-ai
